Id,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
1034,ADULT,96,6,60 to 64 years,Ortega,February,2014,phone,FALSE,2003,FALSE,4
1035,ADULT,256,117,45 to 54 years,Noe Valley/Sally Brunn,July,2016,email,TRUE,2003,FALSE,8
1036,SENIOR,807,0,65 to 74 years,Western Addition,January,2015,email,TRUE,2003,FALSE,
1037,ADULT,12,0,25 to 34 years,North Beach,September,2015,email,TRUE,2015,FALSE,3
1038,ADULT,35,5,25 to 34 years,Main Library,October,2015,email,TRUE,2012,FALSE,10
1039,WELCOME,0,0,20 to 24 years,Bayview/Linda Brooks-Burton,None,None,email,TRUE,2013,FALSE,10
1040,WELCOME,0,0,20 to 24 years,Bayview/Linda Brooks-Burton,None,None,email,TRUE,2013,FALSE,10
1041,ADULT,7,1,25 to 34 years,Bayview/Linda Brooks-Burton,July,2016,email,TRUE,2006,FALSE,
1042,ADULT,120,7,25 to 34 years,Main Library,May,2014,email,TRUE,2005,FALSE,5
1043,SENIOR,4,1,65 to 74 years,Portola,May,2014,email,TRUE,2011,FALSE,9
1044,ADULT,166,104,20 to 24 years,Portola,September,2015,email,TRUE,2003,FALSE,11
1045,ADULT,40,0,25 to 34 years,Main Library,January,2015,email,TRUE,2014,FALSE,6
1046,ADULT,5,0,25 to 34 years,Mission,April,2016,email,TRUE,2010,FALSE,9
1047,ADULT,189,206,45 to 54 years,Ingleside,March,2013,email,TRUE,2004,FALSE,7
1048,ADULT,2,3,35 to 44 years,Presidio,June,2013,email,TRUE,2013,TRUE,
1049,SENIOR,22,34,65 to 74 years,Mission Bay,May,2015,email,TRUE,2013,FALSE,3
1050,ADULT,23,0,45 to 54 years,Main Library,February,2016,email,TRUE,2009,FALSE,
1051,ADULT,12,0,35 to 44 years,Portola,May,2015,email,TRUE,2015,FALSE,10
1052,ADULT,16,0,20 to 24 years,Unknown,May,2015,email,TRUE,2014,FALSE,
1053,TEACHER CARD,19,0,25 to 34 years,Bernal Heights,June,2015,email,TRUE,2015,FALSE,8
1054,ADULT,9,1,20 to 24 years,Potrero,August,2015,phone,FALSE,2003,FALSE,10
1055,ADULT,0,0,20 to 24 years,Western Addition,None,None,email,TRUE,2014,FALSE,3
1056,ADULT,0,0,20 to 24 years,Western Addition,None,None,email,TRUE,2014,FALSE,3
1057,ADULT,62,36,45 to 54 years,Chinatown,September,2013,phone,FALSE,2003,FALSE,10
1058,SENIOR,24,19,65 to 74 years,Main Library,April,2015,email,TRUE,2004,TRUE,
1059,ADULT,44,39,45 to 54 years,Noe Valley/Sally Brunn,July,2016,email,TRUE,2003,FALSE,8
1060,ADULT,518,97,35 to 44 years,Mission,July,2016,email,TRUE,2009,FALSE,8
1061,ADULT,108,167,35 to 44 years,Mission,July,2016,email,TRUE,2003,FALSE,10
1062,ADULT,7,0,55 to 59 years,Main Library,July,2015,phone,FALSE,2015,FALSE,6
1063,ADULT,9,4,25 to 34 years,Ortega,February,2013,print,FALSE,2012,FALSE,4
1064,ADULT,0,0,55 to 59 years,Parkside,None,None,email,TRUE,2015,FALSE,4
1065,ADULT,0,0,55 to 59 years,Parkside,None,None,email,TRUE,2015,FALSE,4
1066,ADULT,0,0,55 to 59 years,Parkside,None,None,email,TRUE,2015,FALSE,4
1067,ADULT,0,0,55 to 59 years,Parkside,None,None,email,TRUE,2015,FALSE,4
1068,ADULT,0,0,55 to 59 years,Parkside,None,None,email,TRUE,2015,FALSE,4
1069,ADULT,0,0,55 to 59 years,Parkside,None,None,email,TRUE,2015,FALSE,4
1070,ADULT,555,0,35 to 44 years,Western Addition,June,2016,print,FALSE,2003,FALSE,5
1071,SENIOR,6,0,65 to 74 years,Main Library,November,2014,print,FALSE,2011,FALSE,6
1072,ADULT,353,209,20 to 24 years,Mission,May,2016,email,TRUE,2008,FALSE,9
1073,ADULT,598,217,60 to 64 years,Park,July,2016,email,TRUE,2003,FALSE,8
1074,ADULT,0,0,25 to 34 years,Excelsior,None,None,email,TRUE,2016,FALSE,4
1075,ADULT,232,36,35 to 44 years,Main Library,July,2016,email,TRUE,2008,FALSE,3
1076,ADULT,110,6,45 to 54 years,Visitacion Valley,October,2014,phone,FALSE,2003,FALSE,10
1077,ADULT,43,53,25 to 34 years,Ortega,May,2016,email,TRUE,2015,FALSE,4
1078,ADULT,436,133,60 to 64 years,Eureka Valley/Harvey Milk Memorial,June,2016,phone,FALSE,2006,FALSE,8
1079,ADULT,0,0,55 to 59 years,Main Library,None,None,phone,FALSE,2009,TRUE,
1080,ADULT,190,241,25 to 34 years,Chinatown,July,2016,email,TRUE,2005,FALSE,3
1081,ADULT,134,56,55 to 59 years,Glen Park,June,2016,email,TRUE,2003,FALSE,8
1082,ADULT,613,852,25 to 34 years,Glen Park,July,2016,email,TRUE,2003,FALSE,
1083,ADULT,2,1,25 to 34 years,Park,July,2016,email,TRUE,2016,FALSE,5
1084,ADULT,2,1,25 to 34 years,Park,July,2016,email,TRUE,2016,FALSE,5
1085,ADULT,146,9,45 to 54 years,Visitacion Valley,April,2012,phone,FALSE,2006,FALSE,10
1086,ADULT,6,14,35 to 44 years,Main Library,January,2014,email,TRUE,2013,FALSE,5
1087,WELCOME,1,3,45 to 54 years,Main Library,August,2013,email,TRUE,2013,TRUE,
1088,ADULT,4,10,25 to 34 years,Main Library,July,2013,email,TRUE,2009,TRUE,
1089,ADULT,26,28,20 to 24 years,North Beach,January,2014,email,TRUE,2009,TRUE,
1090,ADULT,3,0,45 to 54 years,Main Library,March,2014,email,TRUE,2014,TRUE,
1091,ADULT,352,190,25 to 34 years,Portola,January,2013,email,TRUE,2003,FALSE,10
1092,ADULT,254,266,45 to 54 years,Main Library,June,2015,email,TRUE,2003,TRUE,
1093,ADULT,1,2,55 to 59 years,Sunset,August,2015,email,TRUE,2010,TRUE,
1094,ADULT,20,29,35 to 44 years,Richmond,July,2016,email,TRUE,2015,FALSE,1
1095,ADULT,4,0,60 to 64 years,Excelsior,September,2013,phone,FALSE,2013,FALSE,11
1096,ADULT,25,9,20 to 24 years,Main Library,July,2014,email,TRUE,2014,FALSE,6
